Date,Time,CO(GT),NMHC(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),terrestrial_radiation (W/m²),pressure_msl (hPa),soil_temperature_0_to_7cm (°C),I_CO,I_NMHC,I_C6H6,I_NOx,I_NO2,AQI,datetime
10/03/2004,18.00.00,2.6,150.0,11.9,312.08,113.0,13.6,48.9,0.7578,0.0,98,9.9,4.4,1020.8,7.6,26.0,125.5,157.20666666666668,113.43337423312883,58.23863636363636,157.20666666666668,2004-03-10 18:00:00
10/03/2004,19.00.00,2.0,112.0,9.4,193.64,92.0,13.3,47.7,0.7255,0.0,99,10.2,0.0,1020.9,7.2,20.0,106.88,144.12,101.56515337423313,46.0,144.12,2004-03-10 19:00:00
10/03/2004,20.00.00,2.2,88.0,9.0,246.27999999999997,114.0,11.9,54.0,0.7502,0.0,98,10.9,0.0,1020.9,6.9,22.0,88.24000000000001,140.2,106.83991820040899,58.79545454545455,140.2,2004-03-10 20:00:00
10/03/2004,21.00.00,2.2,80.0,9.2,323.35999999999996,122.0,11.0,60.0,0.7867,0.0,99,10.7,0.0,1020.8,6.8,22.0,80.4,142.16,114.56368098159508,63.25,142.16,2004-03-10 21:00:00
10/03/2004,22.00.00,1.6,51.0,6.5,246.27999999999997,116.0,11.2,59.6,0.7888,0.0,100,10.3,0.0,1020.4,6.7,16.0,51.98,115.7,106.83991820040899,59.90909090909091,115.7,2004-03-10 22:00:00
10/03/2004,23.00.00,1.2,38.0,4.7,167.32,96.0,11.2,59.2,0.7848,0.0,100,10.5,0.0,1019.7,6.7,12.0,38.0,95.1,88.48499999999999,48.0,95.1,2004-03-10 23:00:00
11/03/2004,00.00.00,1.2,31.0,3.6,116.55999999999999,77.0,11.3,56.8,0.7603,0.0,100,10.7,0.0,1019.7,6.7,12.0,31.0,77.13333333333333,60.22090909090908,38.5,77.13333333333333,2004-03-11 00:00:00
11/03/2004,01.00.00,1.0,31.0,3.3,116.55999999999999,76.0,10.7,60.0,0.7702,0.0,100,11.6,0.0,1019.2,6.7,10.0,31.0,72.23333333333332,60.22090909090908,38.0,72.23333333333332,2004-03-11 01:00:00
11/03/2004,02.00.00,0.9,24.0,2.3,84.6,60.0,10.7,59.7,0.7648,0.2,100,10.9,0.0,1018.6,6.7,9.0,24.0,55.9,42.3,30.0,55.9,2004-03-11 02:00:00
11/03/2004,03.00.00,0.6,19.0,1.7,0.0,0.0,10.3,60.2,0.7517,0.6,100,9.7,0.0,1017.9,6.6,6.0,19.0,42.5,0.0,0.0,42.5,2004-03-11 03:00:00
11/03/2004,04.00.00,0.0,14.0,1.3,39.48,34.0,10.1,60.5,0.7465,1.0,100,9.6,0.0,1017.1,6.5,0.0,14.0,32.5,19.74,17.0,32.5,2004-03-11 04:00:00
11/03/2004,05.00.00,0.7,8.0,1.1,30.08,28.0,11.0,56.2,0.7366,1.1,100,8.4,0.0,1016.1,6.4,7.0,8.0,27.500000000000004,15.04,14.0,27.500000000000004,2004-03-11 05:00:00
11/03/2004,06.00.00,0.7,16.0,1.6,63.919999999999995,48.0,10.5,58.1,0.7353,1.5,100,9.1,51.3,1015.7,6.3,7.0,16.0,40.0,31.959999999999997,24.0,40.0,2004-03-11 06:00:00
11/03/2004,07.00.00,1.1,29.0,3.2,184.23999999999998,82.0,10.2,59.6,0.7417,1.6,99,8.7,252.9,1015.4,6.5,11.0,29.0,70.6,97.90636363636362,41.0,97.90636363636362,2004-03-11 07:00:00
11/03/2004,08.00.00,2.0,64.0,8.0,327.12,112.0,10.8,57.4,0.7408,2.0,99,10.1,496.2,1014.8,6.8,20.0,64.72,130.4,114.94044989775051,57.68181818181818,130.4,2004-03-11 08:00:00
11/03/2004,09.00.00,2.2,87.0,9.5,242.51999999999998,101.0,10.5,60.6,0.7691,1.7,99,10.9,701.9,1014.0,6.9,22.0,87.25999999999999,145.1,106.46314928425357,51.55681818181818,145.1,2004-03-11 09:00:00
11/03/2004,10.00.00,1.7,77.0,6.3,210.56,98.0,10.8,58.4,0.7552,0.8,100,11.3,855.8,1013.1,7.3,17.0,77.46000000000001,113.74,103.26061349693252,49.0,113.74,2004-03-11 10:00:00
11/03/2004,11.00.00,1.5,43.0,5.0,178.6,92.0,10.5,57.9,0.7352,0.4,100,9.4,947.5,1012.4,7.5,15.0,43.0,100.0,94.76590909090908,46.0,100.0,2004-03-11 11:00:00
11/03/2004,12.00.00,1.6,61.0,5.2,195.51999999999998,95.0,9.5,66.8,0.7951,0.2,100,7.4,970.9,1011.9,7.7,16.0,61.78,102.96000000000001,101.75353783231084,47.5,102.96000000000001,2004-03-11 12:00:00
11/03/2004,13.00.00,1.9,63.0,7.3,274.47999999999996,112.0,8.3,76.4,0.8393,0.0,100,5.4,924.2,1011.7,8.5,19.0,63.74,123.53999999999999,109.66568507157464,57.68181818181818,123.53999999999999,2004-03-11 13:00:00
